Set,Steps,Position MSE Mean,Position MSE Std,Velocity MSE Mean,Velocity MSE Std
train,10,43968583.10064403,2399589.4648487484,0.41205942790012184,0.00020859992719891824
train,100,44728021.142962575,8405322.48517146,0.4121643738827928,0.0010353309471803193
train,500,42148945.14862996,7909410.922837227,0.41192761934432726,0.0015581480551940714
val,10,43773951.15185846,2398064.5008026054,0.3555395358333112,0.00019456713417707996
val,100,44675464.42267274,8447789.878988806,0.35561533579312304,0.0009626633950492228
val,500,42149276.79854578,7910014.697809316,0.35539153155285297,0.0014490291006612598
test,10,43880541.564898,2443686.053283369,0.44664044305827455,0.00021646449902102644
test,100,44683167.80756773,8419843.508643249,0.4467465349597196,0.0010718785309321677
test,500,42112310.78109379,7892148.476226374,0.4464920663710335,0.00162570092330592
