Set,Steps,Position MSE Mean,Position MSE Std,Velocity MSE Mean,Velocity MSE Std
train,10,990770008.704828,1009542161.2005765,0.27695548498557215,0.003938474282535982
train,100,7.156604164113687e+27,1.4313208328227374e+28,8720036717471800.0,1.74400734349436e+16
train,500,9548357735.159687,15961399280.150467,0.275846162728398,0.004855286312882247
val,10,1130503155.2843564,1180188841.6143203,0.1190934316382532,0.003467061505085004
val,100,7.432199572556998e+27,1.4864399145113997e+28,9055837692587842.0,1.8111675385175684e+16
val,500,9474806877.71083,15988427964.929781,0.11767573554794851,0.004408544123434279
test,10,3066689700.8953896,4523481888.356584,0.17685415331956347,0.002678092528057423
test,100,4.5078483529211054e+27,9.015696705842211e+27,5492632434364386.0,1.0985264868728772e+16
test,500,107652462368.97723,165077772389.9068,0.17345355242136887,0.006580057827361473
