Set,Steps,Position MSE Mean,Position MSE Std,Velocity MSE Mean,Velocity MSE Std
train,10,48818451.07412561,752467.9158426765,0.41413221134850187,6.48987826165864e-05
train,100,48493332.95814282,2459365.3044237,0.4136604986191227,0.000823271233630544
train,500,48237075.61625327,2875355.7198386756,0.413660605508309,0.000981379915295857
val,10,49210924.478974216,611738.1435679803,0.4154767886105105,6.141432292395974e-05
val,100,48498856.0649246,2458792.207497305,0.4150049316875447,0.0008138681576942876
val,500,48247119.592720985,2870380.405653881,0.4149539868958907,0.000983819342679048
test,10,48808317.454243794,751850.7892754893,0.39601761200749186,6.460962031700066e-05
test,100,48502126.38537605,2461434.1486630957,0.3955508432147879,0.0007982909674052737
test,500,48245822.15952611,2871171.296098326,0.3955082911645832,0.0009597207749209441
