Set,Steps,Position MSE Mean,Position MSE Std,Velocity MSE Mean,Velocity MSE Std
train,10,74721481.30514409,22475290.473743223,0.41376989087894167,0.0009061860083318653
train,100,76603728.70474282,26204227.82665417,0.41285959819458073,0.0020377156773169936
train,500,77298663.81266233,26320958.14337402,0.41263487798596404,0.0021088173466001637
val,10,74198383.28834787,23058217.43106854,0.41516283558195555,0.0008860865286495765
val,100,74863923.50564234,28528452.169424072,0.4145523667566914,0.0020158732806387653
val,500,75552340.08475089,28690645.11327228,0.4143236509349014,0.00212610569357576
test,10,74072932.44693765,23172577.036017813,0.3957106174086419,0.0008649556599057298
test,100,74863377.25964561,28529734.452602543,0.39511075866983425,0.001966293385766237
test,500,75552616.56165732,28690677.21414447,0.3948877540404772,0.0020745152543647366
