Set,Steps,Position MSE Mean,Position MSE Std,Velocity MSE Mean,Velocity MSE Std
train,10,49887324.559561245,2217339.6506323367,0.4141104894200266,2.63268657950144e-05
train,100,52574775.93661887,3425142.8377191587,0.41347519063554844,0.00046860821951117255
train,500,52666863.8523697,3442254.6595942625,0.41342057517631314,0.0004884282393988461
val,10,49825797.529549554,2238446.1781129185,0.41545296043717195,3.089410565864373e-05
val,100,52567866.794151336,3409852.5476979017,0.4148137659676553,0.0004704877270032684
val,500,52666836.93625397,3442326.382232138,0.41475347128121287,0.0004907404152447263
test,10,49816769.70837697,2241937.9444836895,0.3959903077346927,3.062131711403667e-05
test,100,52565794.21520389,3406798.161759736,0.39536341338726444,0.000459143528287063
test,500,52667172.478304416,3442370.7405704292,0.3953037584387342,0.00047888277752106167
