Set,Steps,Position MSE Mean,Position MSE Std,Velocity MSE Mean,Velocity MSE Std
train,10,53082809.019037545,9202514.444219809,0.41204244122853045,0.00035702975554274775
train,100,54102348.823511526,11983643.99829241,0.41161354237298303,0.0011227724690309534
train,500,54164502.37899891,11922185.908684695,0.41161634739324543,0.0011261502027126616
val,10,52764632.003447205,9506542.204146147,0.355515530557554,0.0003340720994544793
val,100,54140301.53402091,11947239.210771233,0.3551029206480752,0.0010450769900767344
val,500,54165339.54721886,11922621.928575147,0.35510430167039764,0.0010467349463356163
test,10,53111118.32010415,9126566.755252572,0.44662491951041633,0.0003650295427617699
test,100,54045882.83322121,12011482.149850396,0.44617864296299076,0.0011678924594401964
test,500,54119032.40443669,11939227.206418253,0.44618185296622803,0.001171739570676736
