Set,Steps,Position MSE Mean,Position MSE Std,Velocity MSE Mean,Velocity MSE Std
train,10,10725038863.932516,7683888713.868273,0.26607429718290854,0.009738940388095361
train,100,29355784083.01083,19749734692.873257,0.26166220215459923,0.009685600315115837
train,500,29406759226.44854,19762511691.42349,0.2616442515975401,0.009713872947992922
val,10,14745549440.42456,11560456027.426785,0.10935318145200743,0.005897480366937801
val,100,25097911119.475204,17073130545.012032,0.10674785907046079,0.0063652345990868
val,500,25125989655.22683,17088132093.293482,0.10673472395006763,0.0063799924604764436
test,10,12213082954.346115,10639931119.207487,0.1674121341483373,0.005691848871143115
test,100,24809545365.23365,13345116052.428493,0.16473158710058328,0.00713044005920288
test,500,24822879743.507042,13444006471.634819,0.16467440934648536,0.007113684494492106
