Set,Steps,Position MSE Mean,Position MSE Std,Velocity MSE Mean,Velocity MSE Std
train,10,74854695.83260904,29155353.478827745,0.4118257218884465,0.001389683570223503
train,100,71061842.73721051,31110580.778773922,0.4120608566590596,0.001036822409225762
train,500,74722934.88981871,27298612.822275307,0.41188840300795343,0.0009669976959975977
val,10,74265703.35565823,29749183.709140923,0.35530682235349753,0.0012908196052714344
val,100,71071858.73499659,31098935.756294645,0.35552110447889534,0.0009666040275217464
val,500,74723100.0147278,27298738.093939334,0.3553528452354992,0.0008974522419616694
test,10,75191238.23310801,28805264.008782253,0.446392363008708,0.0014542709329462286
test,100,71170448.51504378,31247967.000797663,0.44663065980011163,0.0010683617064228294
test,500,74936995.76119335,27339681.636882763,0.44643828194185503,0.0009924358126938723
